Sample_Type,Genes,Ct
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CRC,TRIB3,28.89
CRC,TRIB3,31.33
CRC,TRIB3,40
CRC,TRIB3,30.02
CRC,TRIB3,29.62
CRC,TRIB3,40
CRC,TRIB3,27.14
CRC,TRIB3,40
CRC,TRIB3,31.76
CRC,TRIB3,40
CRC,TRIB3,32.3
CRC,TRIB3,32.23
CRC,TRIB3,40
CRC,TRIB3,30.98
CRC,TRIB3,30.85
CRC,TRIB3,40
CRC,TRIB3,29.49
CRC,TRIB3,32
CRC,TRIB3,27.53
CRC,TRIB3,33.53
CRC,TRIB3,35.24
CRC,TRIB3,27.55
CRC,TRIB3,30.3
CRC,TRIB3,29.65
CRC,TRIB3,37.37
CRC,TRIB3,36.33
CRC,TRIB3,38.15
CRC,TRIB3,38.09
CRC,TRIB3,32.84
CRC,TRIB3,29.35
CRC,TRIB3,40
CRC,TRIB3,32.43
CRC,TRIB3,30.87
AA,TRIB3,32.67
AA,TRIB3,40
AA,TRIB3,31.82
AA,TRIB3,29.96
AA,TRIB3,34.38
AA,TRIB3,32.01
AA,TRIB3,33.31
AA,TRIB3,40
AA,TRIB3,34.06
AA,TRIB3,32.97
AA,TRIB3,40
AA,TRIB3,40
AA,TRIB3,40
AA,TRIB3,40
AA,TRIB3,33.81
AA,TRIB3,32.76
AA,TRIB3,34.5
AA,TRIB3,40
AA,TRIB3,34.66
AA,TRIB3,32.9
AA,TRIB3,37.38
AA,TRIB3,40
AA,TRIB3,40
AA,TRIB3,38.02
AA,TRIB3,33.33
AA,TRIB3,34.17
AA,TRIB3,36.15
AA,TRIB3,31.87
Col_Neg,TRIB3,36.22
Col_Neg,TRIB3,36.51
Col_Neg,TRIB3,33.45
Col_Neg,TRIB3,40
Col_Neg,TRIB3,35.56
Col_Neg,TRIB3,40
Col_Neg,TRIB3,40
Col_Neg,TRIB3,40
Col_Neg,TRIB3,36.63
Col_Neg,TRIB3,35.99
Col_Neg,TRIB3,36.66
Col_Neg,TRIB3,36.93
Col_Neg,TRIB3,37.2
Col_Neg,TRIB3,40
Col_Neg,TRIB3,35.21
Col_Neg,TRIB3,36.9
Col_Neg,TRIB3,36.23
Col_Neg,TRIB3,35.39
CON,TRIB3,37.11
CON,TRIB3,33.79
CON,TRIB3,31.88
CON,TRIB3,32.92
CON,TRIB3,33.92
CON,TRIB3,33.37
CON,TRIB3,36.11
CON,TRIB3,37
CON,TRIB3,38.08
CON,TRIB3,34.31
CON,TRIB3,35.99
CON,TRIB3,35.62
CON,TRIB3,36.89
CON,TRIB3,40
CON,TRIB3,28.77
CON,TRIB3,40
CON,TRIB3,32.2
CON,TRIB3,34.22
CON,TRIB3,36.74
CON,TRIB3,40
CON,TRIB3,37.94
CON,TRIB3,37.89
CON,TRIB3,33.7
CON,TRIB3,40
CON,TRIB3,36.61
CON,TRIB3,37.68
CON,TRIB3,35.8
CON,TRIB3,32.25
CON,TRIB3,40
CON,TRIB3,31.89
CON,TRIB3,35.43
CON,TRIB3,37.35
CON,TRIB3,35.68
CON,TRIB3,37.76
CON,TRIB3,36.78
CRC,SIM2,33.86
CRC,SIM2,36.79
CRC,SIM2,38.01
CRC,SIM2,40
CRC,SIM2,31.54
CRC,SIM2,38.12
CRC,SIM2,31.14
CRC,SIM2,40
CRC,SIM2,37.68
CRC,SIM2,37.61
CRC,SIM2,36.93
CRC,SIM2,40
CRC,SIM2,40
CRC,SIM2,35.06
CRC,SIM2,35.9
CRC,SIM2,40
CRC,SIM2,34.65
CRC,SIM2,40
CRC,SIM2,37.63
CRC,SIM2,40
CRC,SIM2,36.92
CRC,SIM2,32.24
CRC,SIM2,34.83
CRC,SIM2,33.81
CRC,SIM2,40
CRC,SIM2,40
CRC,SIM2,40
CRC,SIM2,40
CRC,SIM2,36.61
CRC,SIM2,34.62
CRC,SIM2,40
CRC,SIM2,40
CRC,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,33.23
AA,SIM2,40
AA,SIM2,40
AA,SIM2,36.76
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,37.85
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,37.87
AA,SIM2,37.9
AA,SIM2,37.78
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,40
AA,SIM2,36.85
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,36.91
Col_Neg,SIM2,40
Col_Neg,SIM2,36.97
Col_Neg,SIM2,36.48
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,40
Col_Neg,SIM2,36.49
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,37.16
CON,SIM2,40
CON,SIM2,40
CON,SIM2,37.14
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,38.09
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,40
CON,SIM2,34.28
CON,SIM2,38.06
CON,SIM2,38.18
CON,SIM2,40
CON,SIM2,37.69
CON,SIM2,40
CRC,MMP3,28.65
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,31.61
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,28.35
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,33.99
CRC,MMP3,40
CRC,MMP3,34.93
CRC,MMP3,40
CRC,MMP3,33.39
CRC,MMP3,40
CRC,MMP3,33.8
CRC,MMP3,40
CRC,MMP3,26.63
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,26.56
CRC,MMP3,30.9
CRC,MMP3,29.65
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,40
CRC,MMP3,31.52
CRC,MMP3,40
CRC,MMP3,33.71
CRC,MMP3,29.59
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
AA,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
Col_Neg,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,39.22
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CON,MMP3,40
CRC,MMP1,27.8
CRC,MMP1,31.12
CRC,MMP1,40
CRC,MMP1,31
CRC,MMP1,32.91
CRC,MMP1,37.48
CRC,MMP1,27.65
CRC,MMP1,37.31
CRC,MMP1,34.2
CRC,MMP1,33.08
CRC,MMP1,33.19
CRC,MMP1,31.69
CRC,MMP1,34.33
CRC,MMP1,32.25
CRC,MMP1,32.16
CRC,MMP1,36.03
CRC,MMP1,31.19
CRC,MMP1,32.52
CRC,MMP1,26.67
CRC,MMP1,35.21
CRC,MMP1,34.46
CRC,MMP1,25.45
CRC,MMP1,29.76
CRC,MMP1,28.59
CRC,MMP1,37.59
CRC,MMP1,36.94
CRC,MMP1,40
CRC,MMP1,37.66
CRC,MMP1,32.86
CRC,MMP1,29.5
CRC,MMP1,40
CRC,MMP1,29.91
CRC,MMP1,28.83
AA,MMP1,37.74
AA,MMP1,40
AA,MMP1,34.87
AA,MMP1,32.06
AA,MMP1,32.58
AA,MMP1,37.26
AA,MMP1,34.74
AA,MMP1,36.8
AA,MMP1,36.3
AA,MMP1,40
AA,MMP1,34.36
AA,MMP1,40
AA,MMP1,32.94
AA,MMP1,34.14
AA,MMP1,36.59
AA,MMP1,35.24
AA,MMP1,40
AA,MMP1,39.1
AA,MMP1,35.92
AA,MMP1,36.73
AA,MMP1,40
AA,MMP1,40
AA,MMP1,39.23
AA,MMP1,40
AA,MMP1,34.78
AA,MMP1,33.22
AA,MMP1,31.81
AA,MMP1,31.87
Col_Neg,MMP1,40
Col_Neg,MMP1,40
Col_Neg,MMP1,38.12
Col_Neg,MMP1,40
Col_Neg,MMP1,40
Col_Neg,MMP1,37.24
Col_Neg,MMP1,32.8
Col_Neg,MMP1,37.11
Col_Neg,MMP1,37.11
Col_Neg,MMP1,37.13
Col_Neg,MMP1,37.68
Col_Neg,MMP1,36.93
Col_Neg,MMP1,40
Col_Neg,MMP1,37.35
Col_Neg,MMP1,35.33
Col_Neg,MMP1,39.11
Col_Neg,MMP1,36.15
Col_Neg,MMP1,35.86
CON,MMP1,35.21
CON,MMP1,33.88
CON,MMP1,34.92
CON,MMP1,34.94
CON,MMP1,34.23
CON,MMP1,36.74
CON,MMP1,38.24
CON,MMP1,37.25
CON,MMP1,40
CON,MMP1,40
CON,MMP1,35.96
CON,MMP1,40
CON,MMP1,38.13
CON,MMP1,40
CON,MMP1,34.54
CON,MMP1,35.31
CON,MMP1,40
CON,MMP1,33.95
CON,MMP1,37.76
CON,MMP1,39.01
CON,MMP1,40
CON,MMP1,37.77
CON,MMP1,33.46
CON,MMP1,39.15
CON,MMP1,40
CON,MMP1,40
CON,MMP1,34.87
CON,MMP1,34.46
CON,MMP1,40
CON,MMP1,34.06
CON,MMP1,36.28
CON,MMP1,34.76
CON,MMP1,40
CON,MMP1,36.13
CON,MMP1,36.46
CRC,CXCL8,18.5
CRC,CXCL8,23.54
CRC,CXCL8,33.67
CRC,CXCL8,22.94
CRC,CXCL8,20.55
CRC,CXCL8,29.61
CRC,CXCL8,20.34
CRC,CXCL8,27.65
CRC,CXCL8,28.73
CRC,CXCL8,25.04
CRC,CXCL8,25.24
CRC,CXCL8,25.26
CRC,CXCL8,25.97
CRC,CXCL8,22.89
CRC,CXCL8,25.44
CRC,CXCL8,28.24
CRC,CXCL8,24
CRC,CXCL8,23.99
CRC,CXCL8,21.43
CRC,CXCL8,30.28
CRC,CXCL8,28.16
CRC,CXCL8,15.56
CRC,CXCL8,21.38
CRC,CXCL8,19.72
CRC,CXCL8,28.75
CRC,CXCL8,27.44
CRC,CXCL8,31.2
CRC,CXCL8,29.96
CRC,CXCL8,24.83
CRC,CXCL8,18.82
CRC,CXCL8,30.66
CRC,CXCL8,21.06
CRC,CXCL8,22.55
AA,CXCL8,23.52
AA,CXCL8,29.12
AA,CXCL8,30.27
AA,CXCL8,26.81
AA,CXCL8,23.42
AA,CXCL8,32.38
AA,CXCL8,28.89
AA,CXCL8,33.64
AA,CXCL8,31.18
AA,CXCL8,28.87
AA,CXCL8,31.65
AA,CXCL8,34.31
AA,CXCL8,25.48
AA,CXCL8,25.61
AA,CXCL8,32.02
AA,CXCL8,29.96
AA,CXCL8,35.41
AA,CXCL8,33.62
AA,CXCL8,32.37
AA,CXCL8,31.58
AA,CXCL8,32.92
AA,CXCL8,34.42
AA,CXCL8,35.24
AA,CXCL8,33.83
AA,CXCL8,26.9
AA,CXCL8,29.6
AA,CXCL8,28.14
AA,CXCL8,24.64
Col_Neg,CXCL8,31.91
Col_Neg,CXCL8,32.08
Col_Neg,CXCL8,30.25
Col_Neg,CXCL8,33.21
Col_Neg,CXCL8,33.1
Col_Neg,CXCL8,32.83
Col_Neg,CXCL8,30.76
Col_Neg,CXCL8,28.57
Col_Neg,CXCL8,34.08
Col_Neg,CXCL8,34.14
Col_Neg,CXCL8,32.86
Col_Neg,CXCL8,32.1
Col_Neg,CXCL8,30.88
Col_Neg,CXCL8,31.35
Col_Neg,CXCL8,30.82
Col_Neg,CXCL8,28.55
Col_Neg,CXCL8,28.8
Col_Neg,CXCL8,29.1
CON,CXCL8,26.41
CON,CXCL8,28.2
CON,CXCL8,27.92
CON,CXCL8,26.84
CON,CXCL8,30.84
CON,CXCL8,24.78
CON,CXCL8,31.63
CON,CXCL8,32.07
CON,CXCL8,36.88
CON,CXCL8,35.25
CON,CXCL8,30.3
CON,CXCL8,33.34
CON,CXCL8,31.63
CON,CXCL8,32.1
CON,CXCL8,26.6
CON,CXCL8,32.4
CON,CXCL8,31.53
CON,CXCL8,27.67
CON,CXCL8,32.85
CON,CXCL8,35.48
CON,CXCL8,35.73
CON,CXCL8,30.6
CON,CXCL8,24.6
CON,CXCL8,32.6
CON,CXCL8,34.16
CON,CXCL8,31.47
CON,CXCL8,32.63
CON,CXCL8,26.61
CON,CXCL8,34.27
CON,CXCL8,22.01
CON,CXCL8,31.48
CON,CXCL8,36.71
CON,CXCL8,33.22
CON,CXCL8,28.7
CON,CXCL8,32.47
CRC,REG1A,31.4
CRC,REG1A,34.88
CRC,REG1A,35.37
CRC,REG1A,30.28
CRC,REG1A,31.58
CRC,REG1A,35.51
CRC,REG1A,33.15
CRC,REG1A,33.6
CRC,REG1A,32.28
CRC,REG1A,35.46
CRC,REG1A,31.26
CRC,REG1A,31.6
CRC,REG1A,32.3
CRC,REG1A,30.94
CRC,REG1A,34.46
CRC,REG1A,30.69
CRC,REG1A,31.14
CRC,REG1A,30.71
CRC,REG1A,27.53
CRC,REG1A,33.98
CRC,REG1A,32.96
CRC,REG1A,27.33
CRC,REG1A,30.82
CRC,REG1A,31.42
CRC,REG1A,40
CRC,REG1A,34.24
CRC,REG1A,36
CRC,REG1A,35.36
CRC,REG1A,35.25
CRC,REG1A,30.86
CRC,REG1A,40
CRC,REG1A,32.29
CRC,REG1A,32.2
AA,REG1A,34.1
AA,REG1A,39.06
AA,REG1A,33.87
AA,REG1A,34.15
AA,REG1A,33.41
AA,REG1A,36.89
AA,REG1A,35.63
AA,REG1A,36.79
AA,REG1A,36.02
AA,REG1A,38.24
AA,REG1A,33.89
AA,REG1A,40
AA,REG1A,33.69
AA,REG1A,33.35
AA,REG1A,36.12
AA,REG1A,35.5
AA,REG1A,40
AA,REG1A,35.49
AA,REG1A,37.55
AA,REG1A,34.3
AA,REG1A,34.28
AA,REG1A,40
AA,REG1A,34.51
AA,REG1A,34.87
AA,REG1A,40
AA,REG1A,32.88
AA,REG1A,29.75
AA,REG1A,33.23
Col_Neg,REG1A,37.49
Col_Neg,REG1A,33.83
Col_Neg,REG1A,34.03
Col_Neg,REG1A,36.3
Col_Neg,REG1A,35.85
Col_Neg,REG1A,36.63
Col_Neg,REG1A,29.65
Col_Neg,REG1A,35.8
Col_Neg,REG1A,33.71
Col_Neg,REG1A,34.52
Col_Neg,REG1A,34.52
Col_Neg,REG1A,36.61
Col_Neg,REG1A,35.34
Col_Neg,REG1A,37.91
Col_Neg,REG1A,30.89
Col_Neg,REG1A,35.97
Col_Neg,REG1A,32.07
Col_Neg,REG1A,35.2
CON,REG1A,40
CON,REG1A,32.07
CON,REG1A,29.87
CON,REG1A,34.43
CON,REG1A,33.17
CON,REG1A,33.94
CON,REG1A,34.03
CON,REG1A,35.4
CON,REG1A,40
CON,REG1A,35.65
CON,REG1A,33.23
CON,REG1A,36.66
CON,REG1A,34.31
CON,REG1A,33.54
CON,REG1A,35.73
CON,REG1A,32.96
CON,REG1A,33.75
CON,REG1A,33.6
CON,REG1A,34.87
CON,REG1A,36.13
CON,REG1A,37.64
CON,REG1A,34.73
CON,REG1A,32.28
CON,REG1A,37.56
CON,REG1A,40
CON,REG1A,37.5
CON,REG1A,32.35
CON,REG1A,34.06
CON,REG1A,40
CON,REG1A,33.76
CON,REG1A,34.52
CON,REG1A,35.2
CON,REG1A,34.24
CON,REG1A,34.2
CON,REG1A,33.48
CRC,KRT80,35.22
CRC,KRT80,37.02
CRC,KRT80,33.84
CRC,KRT80,33.54
CRC,KRT80,31.36
CRC,KRT80,35.97
CRC,KRT80,32.98
CRC,KRT80,40
CRC,KRT80,34.03
CRC,KRT80,38.13
CRC,KRT80,35.95
CRC,KRT80,36.94
CRC,KRT80,35.93
CRC,KRT80,32.77
CRC,KRT80,33.71
CRC,KRT80,35.55
CRC,KRT80,32.72
CRC,KRT80,33.71
CRC,KRT80,29.46
CRC,KRT80,34.93
CRC,KRT80,33.06
CRC,KRT80,29.62
CRC,KRT80,29.71
CRC,KRT80,30.67
CRC,KRT80,37.96
CRC,KRT80,34.62
CRC,KRT80,38.39
CRC,KRT80,33.61
CRC,KRT80,34.94
CRC,KRT80,31.6
CRC,KRT80,38.59
CRC,KRT80,35.3
CRC,KRT80,32.71
AA,KRT80,31.29
AA,KRT80,36.62
AA,KRT80,33.04
AA,KRT80,31.12
AA,KRT80,33.45
AA,KRT80,36.48
AA,KRT80,34.29
AA,KRT80,35.46
AA,KRT80,35.72
AA,KRT80,35.21
AA,KRT80,33.97
AA,KRT80,40
AA,KRT80,36.52
AA,KRT80,36.92
AA,KRT80,34.47
AA,KRT80,35.19
AA,KRT80,37.87
AA,KRT80,36.2
AA,KRT80,35.92
AA,KRT80,36.1
AA,KRT80,33.1
AA,KRT80,36.15
AA,KRT80,34.32
AA,KRT80,36.51
AA,KRT80,33.44
AA,KRT80,34.35
AA,KRT80,34.92
AA,KRT80,33.04
Col_Neg,KRT80,38.23
Col_Neg,KRT80,36.16
Col_Neg,KRT80,33.28
Col_Neg,KRT80,35.31
Col_Neg,KRT80,33.55
Col_Neg,KRT80,36.03
Col_Neg,KRT80,32.88
Col_Neg,KRT80,35.02
Col_Neg,KRT80,33.11
Col_Neg,KRT80,32.3
Col_Neg,KRT80,34.74
Col_Neg,KRT80,36.99
Col_Neg,KRT80,35.97
Col_Neg,KRT80,36.58
Col_Neg,KRT80,35.11
Col_Neg,KRT80,33.9
Col_Neg,KRT80,32.69
Col_Neg,KRT80,32.33
CON,KRT80,40
CON,KRT80,33.91
CON,KRT80,40
CON,KRT80,34.98
CON,KRT80,31.4
CON,KRT80,33.08
CON,KRT80,35.19
CON,KRT80,33.71
CON,KRT80,34.54
CON,KRT80,33.33
CON,KRT80,33.05
CON,KRT80,35.31
CON,KRT80,34.7
CON,KRT80,35.36
CON,KRT80,32.64
CON,KRT80,38.5
CON,KRT80,40
CON,KRT80,35.23
CON,KRT80,37.18
CON,KRT80,36.07
CON,KRT80,37.23
CON,KRT80,34.37
CON,KRT80,32.54
CON,KRT80,40
CON,KRT80,39.19
CON,KRT80,37.59
CON,KRT80,34.67
CON,KRT80,33.39
CON,KRT80,39.11
CON,KRT80,34.5
CON,KRT80,32.61
CON,KRT80,34.33
CON,KRT80,35.9
CON,KRT80,32.63
CON,KRT80,36.36
CRC,CEL,27.44
CRC,CEL,33.56
CRC,CEL,33.58
CRC,CEL,31.89
CRC,CEL,34.1
CRC,CEL,35.97
CRC,CEL,31.12
CRC,CEL,37.81
CRC,CEL,32.95
CRC,CEL,36.65
CRC,CEL,35.08
CRC,CEL,38.25
CRC,CEL,36.6
CRC,CEL,33.9
CRC,CEL,37.43
CRC,CEL,40
CRC,CEL,36.09
CRC,CEL,40
CRC,CEL,32.33
CRC,CEL,40
CRC,CEL,36.03
CRC,CEL,30.62
CRC,CEL,35.88
CRC,CEL,34.03
CRC,CEL,40
CRC,CEL,40
CRC,CEL,40
CRC,CEL,40
CRC,CEL,40
CRC,CEL,30.67
CRC,CEL,40
CRC,CEL,35.51
CRC,CEL,34.98
AA,CEL,38.5
AA,CEL,40
AA,CEL,36.5
AA,CEL,32.85
AA,CEL,35.27
AA,CEL,37.43
AA,CEL,33.92
AA,CEL,36.82
AA,CEL,34.05
AA,CEL,38.51
AA,CEL,37.27
AA,CEL,40
AA,CEL,40
AA,CEL,40
AA,CEL,36.84
AA,CEL,37.55
AA,CEL,38.78
AA,CEL,38.79
AA,CEL,34.97
AA,CEL,40
AA,CEL,37.89
AA,CEL,40
AA,CEL,40
AA,CEL,40
AA,CEL,38.26
AA,CEL,35.84
AA,CEL,40
AA,CEL,32.34
Col_Neg,CEL,40
Col_Neg,CEL,37.17
Col_Neg,CEL,36.78
Col_Neg,CEL,40
Col_Neg,CEL,33.12
Col_Neg,CEL,38.31
Col_Neg,CEL,31.17
Col_Neg,CEL,40
Col_Neg,CEL,38.49
Col_Neg,CEL,38.29
Col_Neg,CEL,40
Col_Neg,CEL,40
Col_Neg,CEL,36.97
Col_Neg,CEL,40
Col_Neg,CEL,36.85
Col_Neg,CEL,40
Col_Neg,CEL,38.11
Col_Neg,CEL,37.88
CON,CEL,40
CON,CEL,33.09
CON,CEL,32.89
CON,CEL,30.92
CON,CEL,37.3
CON,CEL,36.9
CON,CEL,34.48
CON,CEL,37.78
CON,CEL,40
CON,CEL,40
CON,CEL,38.54
CON,CEL,38.18
CON,CEL,36.95
CON,CEL,40
CON,CEL,40
CON,CEL,40
CON,CEL,40
CON,CEL,38.48
CON,CEL,40
CON,CEL,40
CON,CEL,40
CON,CEL,38.12
CON,CEL,34.56
CON,CEL,35.28
CON,CEL,40
CON,CEL,40
CON,CEL,40
CON,CEL,37.72
CON,CEL,36.52
CON,CEL,35.98
CON,CEL,37.01
CON,CEL,40
CON,CEL,40
CON,CEL,40
CON,CEL,40
CRC,COMP,35.07
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,34.93
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,37.29
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,36.91
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,35.77
CRC,COMP,40
CRC,COMP,40
CRC,COMP,31.82
CRC,COMP,40
CRC,COMP,37.14
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
CRC,COMP,37.22
CRC,COMP,40
CRC,COMP,40
CRC,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,36.22
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,37.77
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,38.13
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
AA,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,37.41
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
Col_Neg,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,35.36
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CON,COMP,40
CRC,DPEP1,28.36
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,30.31
CRC,DPEP1,40
CRC,DPEP1,35.91
CRC,DPEP1,26.91
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,32.33
CRC,DPEP1,40
CRC,DPEP1,34.97
CRC,DPEP1,32.41
CRC,DPEP1,33.46
CRC,DPEP1,32.96
CRC,DPEP1,30.1
CRC,DPEP1,33.47
CRC,DPEP1,27.19
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,36.03
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
CRC,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,31.02
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,33.2
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,33.15
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,31.39
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,40
AA,DPEP1,38.2
AA,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
Col_Neg,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
