Sample_Type,GAPDH,TGFBI,RPS10,CEMIP,SLCO4A1,MMP11,GDF15,ETV4,NME2,COL11A1,TRIB3,SIM2,MMP3,MMP1,CXCL8,REG1A,KRT80,CEL,COMP,DPEP1,CPNE7
CRC,1,1.46408569594562,0.806641759222129,0.566441942647898,2.63901582154579,0.185565446328632,1.26137740883125,0.578344091952643,0.444421340583285,0,1.404444875738,0.7578582832552,1.79005014185594,2.32946717293691,11.004334545118,0.216134307826967,0.056328153913177,27.857618025476,1.06806540804785,2.17346972505211,2.55797116255486
CRC,1,1,0.500000000000002,0.159320078414908,0,0.692554734055464,0.709561678100192,0.659753955386448,0.211686328090632,0,1.10956947206785,0.426317445883979,0,1,1.43395524801583,0.083042863381032,0.0693480920042403,1.71713087287551,0,0,3.54307007640945
CRC,1,2.63901582154579,24.5900029006083,0,0,0,0,0,7.5161819937121,0,0,19.6983106135187,0,0,0.137738139484576,6.36429187003937,67.6491545959284,182.278425036426,0,0,11.9174197049816
CRC,1,6.02098698964427,1.80250092522167,4.65893434587382,9.6464626215261,5.42641730979069,1.66439746942305,4.95883079975594,1,0,4.08404850282878,0,1.46408569594563,1.61328351844425,3.22656703688851,2.98969849726988,1.14869835499704,8.11167583832024,0,3.58010028371189,46.0458745603462
CRC,1,0.376311686852767,0.432268615653934,1.07922823650442,1.71713087287551,0,1.16070391438372,1.24833054890161,1.90527599608787,0,5.69620078238829,25.4571674801574,0,0.453759577658581,17.8765942091555,1.28342589756291,5.50216727255899,1.85317612378074,0,0,13.041157318442
CRC,1,0.0500668673493515,1.02811382665607,0,1,0,0.342695701244926,0,0.183010711993203,0,0,0.456915725114702,0,0.0328036463632209,0.0575117281640548,0.144586022988161,0.386891248385599,0.870550563296126,0,0.133971682817037,0
CRC,1,3.36358566101486,0.888842681166574,2.86791049603165,0.864537231307869,2.54912125463853,1.46916863327831,2.58470566127499,0.959264119325265,0,3.75809099685605,3.97236998174815,1.75321144263207,2.05622765331214,2.44528055538414,0.0511188786598615,0.211686328090633,1.72907446261573,0.936272247434493,4.72397064571812,22.3933738495232
CRC,1,0.0780206593063508,0.500000000000001,0,0,0,0,0.510506062853595,0.496546247718516,0,0,0,0,0.150725978461345,0.913831450229401,2.21913894413569,0,0.993092495437034,0,0,0
CRC,1,0.110337874536332,2.65737162819303,0.469761374607006,0,0,0,0.0796600392074538,0.384218795322002,0,1.46408569594562,0.408951029278891,0,0.210224103813428,0.0698304461295138,0.895025070927972,0.979420297586927,4.65893434587381,0,0,0.481297221550875
CRC,1,0.441351498145328,1.25701337452183,0,0,0,1.25266443862413,1,2.41161565538152,0,0,1.45397251732031,0,1.54756499354239,3.05251841792112,0.334481888696528,0.193445624192799,1.21419488439505,0,0,1.03168317930136
CRC,1,0.489710148793464,0.287174588749259,0.959264119325265,0,0,0,1.95884059517386,0.692554734055462,0,0.952637998043941,0.650670927720968,0.318640156829815,0.400534938794812,0.742261785314527,1.71713087287551,0.244855074396732,1.00695555005672,1.65290063630843,1,0.300409012381712
CRC,1,0.496546247718517,0.233258247884203,0,0,0.167240944348265,0,0.115023456328109,0.678302163723837,0,0.742261785314527,0,0,0.840896415253715,0.543367431263029,1.00695555005672,0.091505355996602,0.0830428633810321,0,0,0
CRC,1,0.89502507092797,0.510506062853598,0,0,0,0,0.637280313659629,0.403320879611062,0,0,0,0.913831450229399,1,2.46228882668983,4.59479341998815,1.3660402567544,1.93187265784969,0,0.882702996290653,0
CRC,1,0.205897754316893,1.38510946811093,0.38156480224014,0.320856474390727,0,0.278355404557172,0.0902455747201556,0.141610485661975,0,0.993092495437036,0.993092495437035,0,0.320856474390726,1.58008262372675,0.895025070927972,0.92658806189037,0.952637998043938,0,0.395020655931689,1.35191083302812
CRC,1,2.20381023175322,2.31337636781058,4.1410596953655,3.75809099685605,0,1.53155799709438,1.79005014185594,0.993092495437035,0,4.02782220022687,2.05622765331214,0.747424624317468,1.26575659397028,1,0.289172045976322,1.79005014185595,0.305660069423017,3.32879493884611,0.707106781186546,8.60395512365902
CRC,1,0.204475514639445,0.901250462610831,0,0,0,0,0,0.190782401120069,0,0,0,0,0.334481888696528,0.554784736033923,15.242207968703,1.9318726578497,0,0,3.86374531569937,0.364755086060044
CRC,1,1.97246540898671,0.241484082231212,0.840896415253715,1.94530989482457,2.17346972505212,1.06806540804785,1.10190511587661,1.65863909162888,0,4.25748072981344,2.01391110011344,0.231647015472593,1.02101212570719,1.11728713807222,1.18920711500272,1.46408569594563,0.318640156829815,0,2.98969849726987,3.10587550000416
CRC,1,0.0612137685991829,0.0415214316905162,0,0,0,0,0.397768241877458,0.160428237195363,0,0.726986258660156,0,0,0.395020655931688,1.09429370126074,1.558329159321,0.716977624007914,0,0,0.281264621172202,0.0788360880519532
CRC,1,2.32946717293691,0.51763246192069,1.09429370126074,0.469761374607006,0.641712948781452,0.936272247434493,1.10190511587661,0.659753955386446,0,1.65863909162888,0.0255594393299306,3.34035167771347,2.34566989846375,0.664342907048256,1.45397251732031,1.404444875738,0.432268615653933,0.302498522304822,2.25011696937761,0.969289816935063
CRC,1,0.0753629892306723,21.2589730255442,0,0,0,0,0.194791144915125,0.417543959714185,0,1.00695555005672,0,0,0.244855074396732,0.0559390669329983,0.646176415318748,1.23114441334492,0,0,0,0.183646079159789
CRC,1,2.04202425141439,5.24157361543347,0,0,0,0,0,2.86791049603165,0,0.846745312362527,4.46914855228888,0,1.1328838852958,0.668963777393057,3.60500185044332,12.3805199483391,3.55537072466628,0,0,1.27015098253879
